frequency,raw
5060.00,72.50
5133.00,72.70
5208.00,72.70
5284.00,72.50
5360.00,72.40
5438.00,72.20
5518.00,71.80
5598.00,71.20
5679.00,70.50
5762.00,69.80
5846.00,69.10
5931.00,68.30
6017.00,67.70
6104.00,67.20
6193.00,66.60
6283.00,66.20
6375.00,65.90
6467.00,65.70
6561.00,65.40
6657.00,65.80
6754.00,66.40
6852.00,67.20
6952.00,68.00
7053.00,68.80
7155.00,69.30
7259.00,69.60
7365.00,69.70
7472.00,69.70
7581.00,69.70
7691.00,69.80
7803.00,69.70
7916.00,69.80
8032.00,70.00
8148.00,70.30
8267.00,70.60
8387.00,71.00
8509.00,71.30
8633.00,71.30
8758.00,71.20
8886.00,70.80
9015.00,70.20
9146.00,69.40
9279.00,68.60
9414.00,67.80
9551.00,67.00
9690.00,66.30
9831.00,65.70
9974.00,64.90
10119.00,64.60
10266.00,64.20
10416.00,63.80
10567.00,63.60
10721.00,63.40
10877.00,63.30
11035.00,63.10
11196.00,63.00
11358.00,62.90
11524.00,62.90
11691.00,62.80
11861.00,63.00
12034.00,63.40
12209.00,63.80
12386.00,64.40
12567.00,65.20
12749.00,65.70
12935.00,65.50
13123.00,64.70
13314.00,63.70
13507.00,62.80
13704.00,62.00
13903.00,61.40
14105.00,60.80
14311.00,60.30
14519.00,59.90
14730.00,59.50
14944.00,59.10
15162.00,58.90
15382.00,58.60
15606.00,58.50
15833.00,58.40
16063.00,58.30
16297.00,58.20
16534.00,58.20
16774.00,57.90
17018.00,57.60
17266.00,57.10
17517.00,56.70
17772.00,56.30
18030.00,55.90
18293.00,55.40
18559.00,54.90
18829.00,54.30
19102.00,53.70
19380.00,53.30
20000.00,53.00
